Year,Month,Cost
2019,1,248.55879302719552
2019,2,925.027774391357
2019,3,942.8004738906475
2019,4,352.4017656964072
2019,5,758.2639202485502
2019,6,631.3318520121744
2019,7,993.2346848984103
2019,8,272.3500929864102
2019,9,647.4572275544751
2019,10,103.10877895614247
2019,11,754.3451506741858
2019,12,450.2615945439732
2020,1,272.05830494277666
2020,2,617.9842227397943
2020,3,524.9401597246049
2020,4,177.37917092444494
2020,5,162.7150386699701
2020,6,523.6137159497406
2020,7,430.6243964264111
2020,8,801.9948612927018
2020,9,364.97890536579376
2020,10,232.16023536501606
2020,11,679.0527495978475
2020,12,397.7655265568079
2021,1,529.1535438979346
2021,2,471.2570128163594
2021,3,802.4575724221432
2021,4,585.9010680625066
2021,5,931.2326845814748
2021,6,243.11735741161814
2021,7,225.2146133708314
2021,8,418.2261432062232
2021,9,501.09255052532245
2021,10,938.0008371180472
2021,11,623.5697142240359
2021,12,246.04070611403193
2022,1,141.67444704070317
2022,2,399.0532275383382
2022,3,740.4028449427115
2022,4,938.9079889481574
2022,5,315.9242801264886
2022,6,600.1053599219138
2022,7,710.8120417595546
2022,8,353.6645849570343
2022,9,365.04967550229617
2022,10,834.7782369402428
2022,11,875.3805881002013
2022,12,503.0317526234817
2023,1,634.0152348550314
2023,2,301.7709477324319
2023,3,416.2839303534234
2023,4,631.2633951728831
2023,5,824.3768627478073
2023,6,656.0024971877577
2023,7,890.4245951898986
2023,8,478.7292487869123
2023,9,714.6982201103559
2023,10,211.4985245790926
2023,11,753.0074486831348
2023,12,458.2986940057025
